ePOS Code,Company Code,Date,ACRA REGISTERED NAME,Brand/Deal Name/Business Name,Sub Domain Link (If Lead is already available in Backend) Fill only when EPOS client,Tele Sales or MR (For KPI - Internal),Name of the Market Researcher,Original Source (Marketing),"Marketing Source (Do not fill anything if the leads are from Hubspot, EPOS clients)",Company Registration date / Date Established,Company Registration Number (UEN),Primary SSIC Code,Secondary SSIC Code,Hubspot ID (Company),Hubspot ID(Deal),Hubspot ID(Contact),Website URL,Business Type,Facebook Page,Instagram URL,Linkedin URL,Tik Tok URL,Ownership Type,Parent Industry Type,Industry Type,Sub Industry,Business model,Presence of Multiple Outlets,Number of Outlets (Write in #),Region,Planning Area,Business Location Type,Registered Address (Block & Street),Registered Address (Unit #),Registered Address (Postal code),"Operational Address 
(Block & Street)","Operational Address 
(Unit #)","Operational Address 
(Postal Code)",Operational Address Type,First Name,Last Name,PIC Name 1 Designation,PIC NAME 1 Contact Number,PIC 1 email address,PIC 1 Source,First Name 2,Last Name 2,PIC Name 2 Designation,PIC NAME 2 Contact Number,PIC 2 email address,PIC 2 Source,First Name 3,Last Name 3,PIC Name Designation 3,PIC NAME 3 Contact Number,PIC 3 email address,PIC 3 Source,FB/Insta/Tik Tok/Linkedin Contact,Current ePOS Client ?,"If ePOS Client, which product they are using?",Is this deal part of the Gov List?,Source from Market Researcher,Contact Number from Lusha?,Phone number Verified ?
,,"13,01,2026",L&M VIETNAM NAIL BEAUTY,L&M VIETNAM NAIL BEAUTY,,TeleSales,Hazim,Offline Sources,Web Scrapping,29-07-2019,53401124A,96023,96029,,,,https://landmvnb.com/,SME,https://www.facebook.com/landmvnb/,https://www.instagram.com/landmvnb/,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,11 IRVING PLACE,,,11 IRVING PLACE 01-02 Singapore 369551,02,369551,,,,,65 8874 0083,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",HEALTHY GOLD SPA,HEALTHY GOLD SPA,,TeleSales,Hazim,Offline Sources,Web Scrapping,24-03-2022,53448286D,96024,96022,,,,,SME,https://m.facebook.com/61551832747678/about/,,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,351D ANCHORVALE ROAD,,,351D ANCHORVALE ROAD ANCHORVALE FIELDS 10-231 Singapore 544351,231,544351,,,,,65 9276 0927,joannggg85@gmail.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",ANNIE BEAUTY ACADEMY I LASH CENTRAL PTE. LTD.,ANNIE BEAUTY ACADEMY I LASH CENTRAL,,TeleSales,Hazim,Offline Sources,Web Scrapping,25-10-2019,201935987C,96022,85220,,,,https://annielashacademy.com/,SME,https://www.facebook.com/annieleprolashartist/,,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,8 FRENCH ROAD,,,8 FRENCH ROAD 13-30 Singapore 200008,30,200008,,,,,65 8788 3622,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",ZHI HOLISTIC BEAUTY CENTRE PTE. LTD.,ZHI HOLISTIC BEAUTY CENTRE,,TeleSales,Hazim,Offline Sources,Web Scrapping,08-01-2025,202502246E,96022,96029,,,,https://www.mycareersfuture.gov.sg/job/customer-service/beautician-zhi-holistic-beauty-centre-af124b58692888ac9c8450ddb44d33a4,Startbud,https://www.facebook.com/zhiholisticbeautycentre/,https://www.instagram.com/zhiholisticbeautycentre/,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,17 BEDOK SOUTH ROAD,,,17 BEDOK SOUTH ROAD 01-569 Singapore 460017,569,460017,,,,,65 6732 9338,info@zhiholisticbeauty.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",PANDORA LASHES,PANDORA LASHES,,TeleSales,Hazim,Offline Sources,Web Scrapping,03-11-2017,53372948C,96029,0,,,,https://pandoralashes.sg/,SME,https://www.facebook.com/Pandoralash/,https://www.instagram.com/hannah.pandoralashes/,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,14 SCOTTS ROAD,,,14 SCOTTS ROAD FAR EAST PLAZA 03-85 Singapore 228213,85,228213,,,,,65 9752 5483,pandoralashes.co@gmail.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",N FOR NAILS,N FOR NAILS,,TeleSales,Hazim,Offline Sources,Web Scrapping,01-05-2018,53381129E,96023,0,,,,,SME,https://www.facebook.com/nfornailssg/,https://instagram.com/nfornailssg,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,146 JALAN BUKIT MERAH,,,146 JALAN BUKIT MERAH 01-1082 Singapore 160146,1082,160146,,,,,65 8385 9341,nfornailssg@gmail.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",OZ AESTHETIC PRIVATE LIMITED,OZ AESTHETIC,,TeleSales,Hazim,Offline Sources,Web Scrapping,26-12-2021,202144600W,96022,0,,,,https://ozaesthetic.com/,SME,,,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,111 SOMERSET ROAD,,,111 SOMERSET ROAD 111 SOMERSET 04-11 Singapore 238164,11,238164,,,,,65 6235 9388,enquiries@ozaesthetic.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",YONG XING TRADITIONAL HEALTHCARE BEAUTY CENTER,YONG XING TRADITIONAL HEALTHCARE BEAUTY CENTER,,TeleSales,Hazim,Offline Sources,Web Scrapping,12-03-2018,53378603K,96022,96024,,,,,SME,,,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,95 ALJUNIED CRESCENT,,,95 ALJUNIED CRESCENT MACPHERSON VIEW 01-495 Singapore 380095,495,380095,,,,,65 6749 9976,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",CURRRL STUDIO,CURRRL STUDIO,,TeleSales,Hazim,Offline Sources,Web Scrapping,30-09-2022,53456975K,96022,0,,,,,SME,https://www.facebook.com/currrlstudio/,https://www.instagram.com/currrlstudio/,,,SOLE PROPRIETORSHIP/ PARTNERSHIP,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,45 MARINE CRESCENT,,,45 MARINE CRESCENT MARINE CRESCENT GARDENS 06-28 Singapore 440045,28,440045,,,,,65 9003 1858,hellocurrrl@gmail.com,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
,,"13,01,2026",THEBEAUTYMARK PTE. LTD.,THEBEAUTYMARK,,TeleSales,Hazim,Offline Sources,Web Scrapping,14-03-2023,202309622C,96022,96029,,,,,Startbud,,https://www.instagram.com/thebeautymark.sg/,,,LOCAL COMPANY,Services,Services,"Beauty & Wellness (Spas, Massage, Skincare)","B2C, Offline",,,,,,18 AH HOOD ROAD,,,18 AH HOOD ROAD 11-52 Singapore 329983,52,329983,,,,,65 9148 4181,,RecordOwl,,,,,,,,,,,,,,No,,Gov List,"ACRA, Google Searches",,
